tracking_id,timestamp,state,city,area,category,severity_reported,description,image_ref,status,admin_remarks,ai_category,ai_severity,ai_priority_score,ai_confidence,ai_reasoning,cluster_flag
N7M8Q9W2,2025-11-18 11:05:50,Arunachal Pradesh,Itanagar,Main Market,Water,Critical,No water for 2 days,None,Resolved,,Water,Critical,10,0.97,Classified as 'Water'. Severity 'Critical' based on keywords.,False
E4R5T6Y7,2026-02-04 05:30:15,Sikkim,Gangtok,Mall Road,Traffic,Low,Need speed breaker,None,Open,,Traffic,Low,2,0.84,Classified as 'Traffic'. Severity 'Low' based on keywords.,False
U8I9O0P1,2025-12-07 19:20:40,Puducherry,Puducherry,Beach Road,Safety,High,Suspicious activity reported,None,In Progress,,Safety,High,8,0.9,Classified as 'Safety'. Severity 'High' based on keywords.,False
A1S2D3F4,2026-01-29 12:45:05,Ladakh,Leh,Main Market,Electricity,Medium,Frequent power cuts,None,Rejected,,Electricity,Medium,5,0.89,Classified as 'Electricity'. Severity 'Medium' based on keywords.,False
G5H6J7K8,2025-11-25 08:10:30,Jammu and Kashmir,Srinagar,Civil Lines,Road,Critical,Road caved in due to rain,None,Resolved,,Road,Critical,10,0.94,Classified as 'Road'. Severity 'Critical' based on keywords.,False
L9Z8X7C6,2026-01-12 23:35:55,Gujarat,Surat,Textile Market,Internet,High,Router issue in park,None,Open,,Internet,High,8,0.92,Classified as 'Internet'. Severity 'High' based on keywords.,False
V5B4N3M2,2025-12-20 15:00:20,Maharashtra,Pune,IT Park,Sanitation,Low,Foul smell in area,None,In Progress,,Sanitation,Low,2,0.86,Classified as 'Sanitation'. Severity 'Low' based on keywords.,False
Q1W2E3R4,2026-02-06 10:25:45,Uttar Pradesh,Varanasi,Ghat Area,Other,Medium,Public park maintenance needed,None,Rejected,,Other,Medium,5,0.89,Classified as 'Other'. Severity 'Medium' based on keywords.,False
T5Y6U7I8,2025-11-30 04:50:10,Delhi,North Delhi,University Area,Water,High,Dirty water supply,None,Resolved,,Water,High,8,0.95,Classified as 'Water'. Severity 'High' based on keywords.,False
O9P0A1S2,2026-01-21 17:15:35,Andhra Pradesh,Vijayawada,Bus Stand,Traffic,Critical,Traffic signal broken,None,Open,,Traffic,Critical,10,0.96,Classified as 'Traffic'. Severity 'Critical' based on keywords.,False
D3F4G5H6,2025-12-11 09:40:00,Karnataka,Mysuru,Palace Road,Safety,Low,Dark alley unsafe at night,None,In Progress,,Safety,Low,2,0.83,Classified as 'Safety'. Severity 'Low' based on keywords.,False
J7K8L9Z0,2026-01-05 22:05:25,Tamil Nadu,Madurai,Temple Area,Electricity,Medium,Street lights not working,None,Rejected,,Electricity,Medium,5,0.88,Classified as 'Electricity'. Severity 'Medium' based on keywords.,False
X1C2V3B4,2025-11-16 13:30:50,Telangana,Warangal,Civil Lines,Road,High,Manhole cover missing,None,Resolved,,Road,High,8,0.91,Classified as 'Road'. Severity 'High' based on keywords.,False
N5M6Q7W8,2026-02-02 06:55:15,West Bengal,Siliguri,Hill Cart Road,Internet,Critical,Connectivity lost,None,Open,,Internet,Critical,10,0.93,Classified as 'Internet'. Severity 'Critical' based on keywords.,False
E9R0T1Y2,2025-12-23 18:20:40,Rajasthan,Udaipur,Lake Area,Sanitation,Medium,Sewage blockage,None,In Progress,,Sanitation,Medium,5,0.87,Classified as 'Sanitation'. Severity 'Medium' based on keywords.,False
U3I4O5P6,2026-01-16 11:45:05,Odisha,Cuttack,Market Area,Other,Low,Tree fallen on road,None,Rejected,,Other,Low,2,0.85,Classified as 'Other'. Severity 'Low' based on keywords.,False
A7S8D9F0,2025-11-27 05:10:30,Punjab,Amritsar,Golden Temple Rd,Water,Low,Low pressure in taps,None,Resolved,,Water,Low,2,0.82,Classified as 'Water'. Severity 'Low' based on keywords.,False
G1H2J3K4,2026-02-07 20:35:55,Haryana,Panipat,Industrial Area,Traffic,High,Illegal parking blocking way,None,Open,,Traffic,High,8,0.9,Classified as 'Traffic'. Severity 'High' based on keywords.,False
L5Z6X7C8,2025-12-04 14:00:20,Kerala,Thiruvananthapuram,Secretariat,Safety,Critical,Chain snatching incident,None,In Progress,,Safety,Critical,10,0.89,Classified as 'Safety'. Severity 'Critical' based on keywords.,False
V9B0N1M2,2026-01-26 09:25:45,Assam,Dibrugarh,Tea Garden Rd,Electricity,Low,Voltage fluctuation,None,Rejected,,Electricity,Low,2,0.86,Classified as 'Electricity'. Severity 'Low' based on keywords.,False
Q3W4E5R6,2025-11-19 23:50:10,Bihar,Muzaffarpur,Station Road,Road,Medium,Road surface uneven,None,Resolved,,Road,Medium,5,0.88,Classified as 'Road'. Severity 'Medium' based on keywords.,False
T7Y8U9I0,2026-01-09 15:15:35,Madhya Pradesh,Gwalior,Fort Road,Internet,High,Public Wi-Fi down,None,Open,,Internet,High,8,0.91,Classified as 'Internet'. Severity 'High' based on keywords.,False
O1P2A3S4,2025-12-16 08:40:00,Chhattisgarh,Bhilai,Steel Plant Area,Sanitation,Critical,Dead animal on road,None,In Progress,,Sanitation,Critical,10,0.94,Classified as 'Sanitation'. Severity 'Critical' based on keywords. [⚠ AI BURST: 4 reports in Bhilai] [⚠ AI BURST: 4 reports in Bhilai],True
D5F6G7H8,2026-02-01 22:05:25,Uttarakhand,Haridwar,Ghat Area,Water,Medium,Pipeline burst flooding street,None,Rejected,,Water,Medium,5,0.89,Classified as 'Water'. Severity 'Medium' based on keywords.,False
J9K0L1Z2,2025-11-23 16:30:50,Goa,Margao,Market Area,Traffic,Low,Accident prone junction,None,Resolved,,Traffic,Low,2,0.84,Classified as 'Traffic'. Severity 'Low' based on keywords.,False
X3C4V5B6,2026-01-13 07:55:15,Tripura,Udaipur,Lake Area,Safety,High,Stray dogs attacking,None,Open,,Safety,High,8,0.87,Classified as 'Safety'. Severity 'High' based on keywords.,False
N7M8Q9W2,2025-12-06 21:20:40,Manipur,Thoubal,Market Area,Other,Medium,Noise pollution,None,In Progress,,Other,Medium,5,0.85,Classified as 'Other'. Severity 'Medium' based on keywords.,False
E4R5T6Y7,2026-01-30 12:45:05,Meghalaya,Tura,Hills Road,Electricity,Critical,Live wire hanging low,None,Rejected,,Electricity,Critical,10,0.96,Classified as 'Electricity'. Severity 'Critical' based on keywords.,False
U8I9O0P1,2025-11-17 06:10:30,Mizoram,Lunglei,Valley View,Road,Low,Street light pole damaged,None,Resolved,,Road,Low,2,0.83,Classified as 'Road'. Severity 'Low' based on keywords.,False
A1S2D3F4,2026-02-08 19:35:55,Nagaland,Dimapur,Market Area,Internet,Medium,Router issue in park,None,Open,,Internet,Medium,5,0.9,Classified as 'Internet'. Severity 'Medium' based on keywords.,False
G5H6J7K8,2025-12-22 13:00:20,Sikkim,Namchi,Monastery Rd,Sanitation,High,Garbage not collected,None,In Progress,,Sanitation,High,8,0.92,Classified as 'Sanitation'. Severity 'High' based on keywords.,False
L9Z8X7C6,2026-01-11 04:25:45,Arunachal Pradesh,Tawang,Mountain Rd,Water,Critical,Dirty water supply,None,Rejected,,Water,Critical,10,0.95,Classified as 'Water'. Severity 'Critical' based on keywords.,False
V5B4N3M2,2025-11-26 20:50:10,Himachal Pradesh,Manali,Mall Road,Traffic,Low,Need speed breaker,None,Resolved,,Traffic,Low,2,0.86,Classified as 'Traffic'. Severity 'Low' based on keywords.,False
Q1W2E3R4,2026-01-04 09:15:35,Andhra Pradesh,Tirupati,Temple Road,Safety,Medium,Suspicious activity reported,None,Open,,Safety,Critical,10,0.88,Classified as 'Safety'. Severity 'Medium' based on keywords. [⚠ AI BURST: 5 reports in Tirupati] [⚠ AI BURST: 5 reports in Tirupati],True
T5Y6U7I8,2025-12-19 02:40:00,Gujarat,Rajkot,Ring Road,Other,High,Illegal construction,None,In Progress,,Other,High,8,0.83,Classified as 'Other'. Severity 'High' based on keywords.,False
O9P0A1S2,2026-02-03 16:05:25,Maharashtra,Nagpur,Civil Lines,Electricity,Low,Frequent power cuts,None,Rejected,,Electricity,Low,2,0.87,Classified as 'Electricity'. Severity 'Low' based on keywords.,False
D3F4G5H6,2025-11-21 07:30:50,Uttar Pradesh,Agra,Tajganj,Road,Critical,Huge pothole on main street,None,Resolved,,Road,Critical,10,0.93,Classified as 'Road'. Severity 'Critical' based on keywords.,False
J7K8L9Z0,2026-01-15 22:55:15,West Bengal,Durgapur,Steel City,Internet,Medium,Slow internet speed,None,Open,,Internet,Medium,5,0.89,Classified as 'Internet'. Severity 'Medium' based on keywords.,False
X1C2V3B4,2025-12-08 11:20:40,Delhi,East Delhi,Market Area,Sanitation,Low,Overflowing dustbins,None,In Progress,,Sanitation,Low,2,0.9,Classified as 'Sanitation'. Severity 'Low' based on keywords.,False
N5M6Q7W8,2026-01-26 04:45:05,Jammu and Kashmir,Jammu,Raghunath Bazar,Water,High,No water for 2 days,None,Rejected,,Water,High,8,0.94,Classified as 'Water'. Severity 'High' based on keywords.,False
E9R0T1Y2,2025-11-15 18:10:30,Ladakh,Leh,Changspa,Traffic,Medium,Traffic signal broken,None,Resolved,,Traffic,Medium,5,0.91,Classified as 'Traffic'. Severity 'Medium' based on keywords.,False
U3I4O5P6,2026-02-09 08:35:55,Puducherry,Karaikal,Church Street,Safety,Critical,CCTV not working,None,Open,,Safety,Critical,10,0.85,Classified as 'Safety'. Severity 'Critical' based on keywords.,False
A7S8D9F0,2025-12-27 23:00:20,Odisha,Rourkela,Sector 5,Electricity,High,Transformer sparking,None,In Progress,,Electricity,High,8,0.96,Classified as 'Electricity'. Severity 'High' based on keywords.,False
G1H2J3K4,2026-01-18 13:25:45,Kerala,Thrissur,Round North,Other,Low,Graffiti on walls,None,Rejected,,Other,Low,2,0.82,Classified as 'Other'. Severity 'Low' based on keywords.,False
L5Z6X7C8,2025-11-29 05:50:10,Jharkhand,Dhanbad,Bank More,Road,Medium,Manhole cover missing,None,Resolved,,Road,Medium,5,0.88,Classified as 'Road'. Severity 'Medium' based on keywords.,False
V9B0N1M2,2026-01-22 19:15:35,Karnataka,Hubballi,Vidya Nagar,Internet,Critical,Fiber cable cut,None,Open,,Internet,Critical,10,0.92,Classified as 'Internet'. Severity 'Critical' based on keywords.,False
Q3W4E5R6,2025-12-13 08:40:00,Assam,Jorhat,Baruah Chariali,Sanitation,Medium,Foul smell in area,None,In Progress,,Sanitation,Medium,5,0.86,Classified as 'Sanitation'. Severity 'Medium' based on keywords.,False
T7Y8U9I0,2026-02-05 22:05:25,Gujarat,Gandhinagar,Sector 21,Water,Low,Leakage in main pipe,None,Rejected,,Water,Low,2,0.84,Classified as 'Water'. Severity 'Low' based on keywords.,False
O1P2A3S4,2025-11-24 12:30:50,Haryana,Faridabad,NIT,Traffic,High,Illegal parking blocking way,None,Resolved,,Traffic,High,8,0.89,Classified as 'Traffic'. Severity 'High' based on keywords.,False
D5F6G7H8,2026-01-07 03:55:15,Bihar,Gaya,Bodzgaya Rd,Safety,Low,Chain snatching incident,None,Open,,Safety,Low,2,0.87,Classified as 'Safety'. Severity 'Low' based on keywords.,False
J9K0L1Z2,2025-12-31 16:20:40,Andhra Pradesh,Guntur,Brodiepet,Electricity,Medium,Street lights not working,None,In Progress,,Electricity,Medium,5,0.9,Classified as 'Electricity'. Severity 'Medium' based on keywords.,False
X3C4V5B6,2026-02-10 09:45:05,Telangana,Nizamabad,Khaleelwadi,Road,Critical,Road caved in due to rain,None,Rejected,,Road,Critical,10,0.95,Classified as 'Road'. Severity 'Critical' based on keywords.,False
N7M8Q9W2,2025-11-18 21:10:30,Punjab,Jalandhar,Model Town,Internet,Low,Connectivity lost,None,Resolved,,Internet,Low,2,0.88,Classified as 'Internet'. Severity 'Low' based on keywords.,False
E4R5T6Y7,2026-01-02 10:35:55,Odisha,Puri,Grand Road,Other,High,Public park maintenance needed,None,Open,,Other,High,8,0.81,Classified as 'Other'. Severity 'High' based on keywords.,False
U8I9O0P1,2025-12-25 04:00:20,Tamil Nadu,Salem,Fairlands,Sanitation,Critical,Dead animal on road,None,In Progress,,Sanitation,Critical,10,0.93,Classified as 'Sanitation'. Severity 'Critical' based on keywords.,False
A1S2D3F4,2026-01-19 15:25:45,West Bengal,Howrah,Dobson Road,Water,Medium,Low pressure in taps,None,Rejected,,Water,Medium,5,0.85,Classified as 'Water'. Severity 'Medium' based on keywords.,False
G5H6J7K8,2025-11-22 07:50:10,Maharashtra,Aurangabad,Kranti Chowk,Traffic,Low,Accident prone junction,None,Resolved,,Traffic,Low,2,0.86,Classified as 'Traffic'. Severity 'Low' based on keywords.,False
L9Z8X7C6,2026-02-06 20:15:35,Uttar Pradesh,Ghaziabad,Raj Nagar,Safety,High,Dark alley unsafe at night,None,Open,,Safety,High,8,0.89,Classified as 'Safety'. Severity 'High' based on keywords.,False
V5B4N3M2,2025-12-10 09:40:00,Karnataka,Mangaluru,Hampankatta,Electricity,Low,Live wire hanging low,None,In Progress,,Electricity,Low,2,0.87,Classified as 'Electricity'. Severity 'Low' based on keywords.,False
Q1W2E3R4,2026-01-24 23:05:25,Rajasthan,Kota,Talwandi,Road,Medium,Road surface uneven,None,Rejected,,Road,Medium,5,0.84,Classified as 'Road'. Severity 'Medium' based on keywords.,False
T5Y6U7I8,2025-11-16 14:30:50,Uttarakhand,Rishikesh,Tapovan,Internet,Critical,Public Wi-Fi down,None,Resolved,,Internet,Critical,10,0.92,Classified as 'Internet'. Severity 'Critical' based on keywords.,False
O9P0A1S2,2026-02-08 05:55:15,Chhattisgarh,Bilaspur,Link Road,Sanitation,Low,Garbage not collected,None,Open,,Sanitation,Critical,10,0.91,Classified as 'Sanitation'. Severity 'Low' based on keywords. [⚠ AI BURST: 3 reports in Bilaspur] [⚠ AI BURST: 3 reports in Bilaspur],True
D3F4G5H6,2025-12-28 17:20:40,Assam,Silchar,Club Road,Water,High,Dirty water supply,None,In Progress,,Water,High,8,0.94,Classified as 'Water'. Severity 'High' based on keywords.,False
J7K8L9Z0,2026-01-11 10:45:05,Goa,Vasco da Gama,Swatantra Path,Other,Medium,Tree fallen on road,None,Rejected,,Other,Medium,5,0.83,Classified as 'Other'. Severity 'Medium' based on keywords.,False
X1C2V3B4,2025-11-20 01:10:30,Tripura,Agartala,Motor Stand,Traffic,Critical,Need speed breaker,None,Resolved,,Traffic,Critical,10,0.85,Classified as 'Traffic'. Severity 'Critical' based on keywords.,False
N5M6Q7W8,2026-02-02 11:35:55,Manipur,Imphal,Thangal Bazar,Safety,Low,Suspicious activity reported,None,Open,,Safety,Low,2,0.88,Classified as 'Safety'. Severity 'Low' based on keywords.,False
E9R0T1Y2,2025-12-15 06:00:20,Meghalaya,Shillong,Police Bazar,Electricity,Medium,Voltage fluctuation,None,In Progress,,Electricity,Medium,5,0.82,Classified as 'Electricity'. Severity 'Medium' based on keywords.,False
U3I4O5P6,2026-01-29 19:25:45,Mizoram,Aizawl,Zarkawt,Road,High,Street light pole damaged,None,Rejected,,Road,High,8,0.8,Classified as 'Road'. Severity 'High' based on keywords.,False
A7S8D9F0,2025-11-28 08:50:10,Nagaland,Dimapur,Circular Road,Internet,Low,Router issue in park,None,Resolved,,Internet,Low,2,0.89,Classified as 'Internet'. Severity 'Low' based on keywords.,False
G1H2J3K4,2026-01-06 22:15:35,Sikkim,Gangtok,MG Marg,Sanitation,Medium,Overflowing dustbins,None,Open,,Sanitation,Medium,5,0.93,Classified as 'Sanitation'. Severity 'Medium' based on keywords.,False
L5Z6X7C8,2025-12-21 15:40:00,Puducherry,Puducherry,Mission Street,Water,Critical,Pipeline burst flooding street,None,In Progress,,Water,Critical,10,0.97,Classified as 'Water'. Severity 'Critical' based on keywords.,False
V9B0N1M2,2026-02-04 03:05:25,Delhi,West Delhi,Janakpuri,Other,Low,Illegal construction,None,Rejected,,Other,Low,2,0.86,Classified as 'Other'. Severity 'Low' based on keywords.,False
Q3W4E5R6,2025-11-17 18:30:50,Jammu and Kashmir,Srinagar,Lal Chowk,Traffic,Medium,Wrong side driving,None,Resolved,,Traffic,Medium,5,0.88,Classified as 'Traffic'. Severity 'Medium' based on keywords.,False
T7Y8U9I0,2026-01-31 09:55:15,Ladakh,Leh,Leh Main Bazar,Safety,High,CCTV not working,None,Open,,Safety,High,8,0.84,Classified as 'Safety'. Severity 'High' based on keywords.,False
O1P2A3S4,2025-12-26 21:20:40,Andhra Pradesh,Nellore,Trunk Road,Electricity,Low,Frequent power cuts,None,In Progress,,Electricity,Low,2,0.85,Classified as 'Electricity'. Severity 'Low' based on keywords.,False
D5F6G7H8,2026-02-09 13:45:05,Bihar,Bhagalpur,Khalifabag,Internet,Critical,Connectivity lost,None,Rejected,,Internet,Critical,10,0.94,Classified as 'Internet'. Severity 'Critical' based on keywords.,False
J9K0L1Z2,2025-11-24 02:10:30,Gujarat,Vadodara,Alkapuri,Road,Medium,Manhole cover missing,None,Resolved,,Road,Medium,5,0.87,Classified as 'Road'. Severity 'Medium' based on keywords.,False
X3C4V5B6,2026-01-08 14:35:55,Haryana,Ambala,Sadar Bazar,Sanitation,High,Sewage blockage,None,Open,,Sanitation,High,8,0.92,Classified as 'Sanitation'. Severity 'High' based on keywords.,False
N7M8Q9W2,2025-12-18 05:00:20,Himachal Pradesh,Dharamshala,Kotwali Bazar,Water,Low,No water for 2 days,None,In Progress,,Water,Low,2,0.83,Classified as 'Water'. Severity 'Low' based on keywords.,False
E4R5T6Y7,2026-02-01 16:25:45,Jharkhand,Dhanbad,Hirapur,Other,Medium,Noise pollution,None,Rejected,,Other,Medium,5,0.82,Classified as 'Other'. Severity 'Medium' based on keywords.,False
U8I9O0P1,2025-11-19 07:50:10,Kerala,Thiruvananthapuram,Palayam,Traffic,Critical,Traffic signal broken,None,Resolved,,Traffic,Critical,10,0.95,Classified as 'Traffic'. Severity 'Critical' based on keywords.,False
A1S2D3F4,2026-01-23 20:15:35,Madhya Pradesh,Ujjain,Freeganj,Safety,Low,Stray dogs attacking,None,Open,,Safety,Low,2,0.81,Classified as 'Safety'. Severity 'Low' based on keywords.,False
G5H6J7K8,2025-12-27 11:40:00,Maharashtra,Thane,Gokhale Road,Electricity,High,Transformer sparking,None,In Progress,,Electricity,High,8,0.93,Classified as 'Electricity'. Severity 'High' based on keywords.,False
L9Z8X7C6,2026-02-10 00:05:25,Odisha,Bhubaneswar,Janpath,Internet,Medium,Slow internet speed,None,Rejected,,Internet,Medium,5,0.9,Classified as 'Internet'. Severity 'Medium' based on keywords.,False
V5B4N3M2,2025-11-25 15:30:50,Punjab,Chandigarh,Sector 17,Road,Critical,Huge pothole on main street,None,Resolved,,Road,Critical,10,0.96,Classified as 'Road'. Severity 'Critical' based on keywords.,False
Q1W2E3R4,2026-01-03 06:55:15,Rajasthan,Jodhpur,Sardarpura,Sanitation,Low,Dead animal on road,None,Open,,Sanitation,Low,2,0.93,Classified as 'Sanitation'. Severity 'Low' based on keywords.,False
T5Y6U7I8,2025-12-14 19:20:40,Tamil Nadu,Chennai,T Nagar,Water,Medium,Leakage in main pipe,None,In Progress,,Water,Medium,5,0.88,Classified as 'Water'. Severity 'Medium' based on keywords.,False
O9P0A1S2,2026-01-28 08:45:05,Uttar Pradesh,Deoria,Raghav Nagar,Other,High,Tree fallen on road,None,Rejected,,Other,High,8,0.79,Classified as 'Other'. Severity 'High' based on keywords.,False
D3F4G5H6,2025-11-21 00:10:30,West Bengal,Kolkata,Park Street,Traffic,Low,Illegal parking blocking way,None,Resolved,,Traffic,Low,2,0.85,Classified as 'Traffic'. Severity 'Low' based on keywords.,False
J7K8L9Z0,2026-02-04 10:35:55,Andhra Pradesh,Vijayawada,Benz Circle,Safety,Critical,Chain snatching incident,None,Open,,Safety,Critical,10,0.89,Classified as 'Safety'. Severity 'Critical' based on keywords. [⚠ AI BURST: 4 reports in Vijayawada] [⚠ AI BURST: 4 reports in Vijayawada],True
X1C2V3B4,2025-12-17 17:00:20,Arunachal Pradesh,Pasighat,Bazaar Area,Electricity,Medium,Live wire hanging low,None,In Progress,,Electricity,Medium,5,0.84,Classified as 'Electricity'. Severity 'Medium' based on keywords.,False
N5M6Q7W8,2026-01-12 05:25:45,Assam,Dibrugarh,Mancotta Road,Internet,Low,Public Wi-Fi down,None,Rejected,,Internet,Low,2,0.91,Classified as 'Internet'. Severity 'Low' based on keywords.,False
E9R0T1Y2,2025-11-30 14:50:10,Bihar,Muzaffarpur,Motijheel,Road,High,Road surface uneven,None,Resolved,,Road,High,8,0.82,Classified as 'Road'. Severity 'High' based on keywords.,False
U3I4O5P6,2026-01-09 03:15:35,Chhattisgarh,Raipur,Jaistambh Chowk,Sanitation,Medium,Overflowing dustbins,None,Open,,Sanitation,Critical,10,0.95,Classified as 'Sanitation'. Severity 'Medium' based on keywords. [⚠ AI BURST: 11 reports in Raipur] [⚠ AI BURST: 11 reports in Raipur],True
A7S8D9F0,2025-12-24 18:40:00,Goa,Panaji,MG Road,Water,Critical,Dirty water supply,None,In Progress,,Water,Critical,10,0.97,Classified as 'Water'. Severity 'Critical' based on keywords. [⚠ AI BURST: 5 reports in Panaji] [⚠ AI BURST: 5 reports in Panaji],True
G1H2J3K4,2026-02-07 07:05:25,Gujarat,Gandhidham,Oslo,Other,Low,Graffiti on walls,None,Rejected,,Other,Low,2,0.88,Classified as 'Other'. Severity 'Low' based on keywords.,False
L5Z6X7C8,2025-11-26 22:30:50,Haryana,Gurugram,DLF Cyber City,Traffic,Medium,Accident prone junction,None,Resolved,,Traffic,Medium,5,0.87,Classified as 'Traffic'. Severity 'Medium' based on keywords.,False
V9B0N1M2,2026-01-20 12:55:15,Himachal Pradesh,Shimla,The Ridge,Safety,High,Suspicious activity reported,None,Open,,Safety,Critical,10,0.9,Classified as 'Safety'. Severity 'High' based on keywords. [⚠ AI BURST: 8 reports in Shimla] [⚠ AI BURST: 8 reports in Shimla],True
Q3W4E5R6,2025-12-11 23:20:40,Jammu and Kashmir,Srinagar,Residency Road,Internet,Critical,Router issue in park,None,In Progress,,Internet,Critical,10,0.86,Classified as 'Internet'. Severity 'Critical' based on keywords. [⚠ AI BURST: 9 reports in Srinagar] [⚠ AI BURST: 9 reports in Srinagar],True
T7Y8U9I0,2026-02-03 13:45:05,Jharkhand,Ranchi,Main Road,Electricity,Low,Street lights not working,None,Rejected,,Electricity,Low,2,0.93,Classified as 'Electricity'. Severity 'Low' based on keywords.,False
O1P2A3S4,2025-11-18 02:10:30,Karnataka,Bengaluru,MG Road,Road,Medium,Road caved in due to rain,None,Resolved,,Road,Medium,5,0.88,Classified as 'Road'. Severity 'Medium' based on keywords.,False
D5F6G7H8,2026-01-14 15:35:55,Kerala,Kochi,Marine Drive,Sanitation,High,Foul smell in area,None,Open,,Sanitation,Critical,10,0.94,Classified as 'Sanitation'. Severity 'High' based on keywords. [⚠ AI BURST: 8 reports in Kochi] [⚠ AI BURST: 8 reports in Kochi],True
J9K0L1Z2,2025-12-29 04:00:20,Madhya Pradesh,Bhopal,New Market,Water,Low,Low pressure in taps,None,In Progress,,Water,Critical,10,0.85,Classified as 'Water'. Severity 'Low' based on keywords. [⚠ AI BURST: 5 reports in Bhopal] [⚠ AI BURST: 5 reports in Bhopal],True
X3C4V5B6,2026-02-10 17:25:45,Maharashtra,Mumbai,Colaba Causeway,Other,Critical,Illegal construction,None,Rejected,,Other,Critical,10,0.8,Classified as 'Other'. Severity 'Critical' based on keywords.,False
N7M8Q9W2,2025-11-23 06:50:10,Manipur,Imphal,Paona Bazar,Traffic,Low,Need speed breaker,None,Resolved,,Traffic,Low,2,0.89,Classified as 'Traffic'. Severity 'Low' based on keywords.,False
E4R5T6Y7,2026-01-08 19:15:35,Meghalaya,Shillong,Laitumkhrah,Safety,Medium,Stray dogs attacking,None,Open,,Safety,Critical,10,0.82,Classified as 'Safety'. Severity 'Medium' based on keywords. [⚠ AI BURST: 8 reports in Shillong] [⚠ AI BURST: 8 reports in Shillong],True
U8I9O0P1,2025-12-20 09:40:00,Mizoram,Aizawl,Chanmari,Internet,High,Fiber cable cut,None,In Progress,,Internet,Critical,10,0.95,Classified as 'Internet'. Severity 'High' based on keywords. [⚠ AI BURST: 12 reports in Aizawl] [⚠ AI BURST: 12 reports in Aizawl],True
A1S2D3F4,2026-02-06 20:05:25,Nagaland,Kohima,PR Hill,Electricity,Low,Voltage fluctuation,None,Rejected,,Electricity,Low,2,0.84,Classified as 'Electricity'. Severity 'Low' based on keywords.,False
G5H6J7K8,2025-11-29 10:30:50,Odisha,Cuttack,Badambadi,Road,Critical,Street light pole damaged,None,Resolved,,Road,Critical,10,0.92,Classified as 'Road'. Severity 'Critical' based on keywords.,False
L9Z8X7C6,2026-01-16 23:55:15,Punjab,Ludhiana,Chaura Bazar,Sanitation,Medium,Garbage not collected,None,Open,,Sanitation,Critical,10,0.96,Classified as 'Sanitation'. Severity 'Medium' based on keywords. [⚠ AI BURST: 3 reports in Ludhiana] [⚠ AI BURST: 3 reports in Ludhiana],True
V5B4N3M2,2025-12-07 08:20:40,Rajasthan,Jaipur,MI Road,Water,High,No water for 2 days,None,In Progress,,Water,Critical,10,0.93,Classified as 'Water'. Severity 'High' based on keywords. [⚠ AI BURST: 6 reports in Jaipur] [⚠ AI BURST: 6 reports in Jaipur],True
Q1W2E3R4,2026-01-31 21:45:05,Sikkim,Gangtok,Lal Bazar,Other,Low,Public park maintenance needed,None,Rejected,,Other,Low,2,0.87,Classified as 'Other'. Severity 'Low' based on keywords.,False
T5Y6U7I8,2025-11-20 12:10:30,Tamil Nadu,Coimbatore,Cross Cut Road,Traffic,Critical,Traffic signal broken,None,Resolved,,Traffic,Critical,10,0.94,Classified as 'Traffic'. Severity 'Critical' based on keywords.,False
O9P0A1S2,2026-02-05 02:35:55,Telangana,Hyderabad,Abids,Safety,High,Dark alley unsafe at night,None,Open,,Safety,Critical,10,0.91,Classified as 'Safety'. Severity 'High' based on keywords. [⚠ AI BURST: 8 reports in Hyderabad] [⚠ AI BURST: 8 reports in Hyderabad],True
D3F4G5H6,2025-12-25 15:00:20,Tripura,Agartala,Battala,Internet,Medium,Public Wi-Fi down,None,In Progress,,Internet,Critical,10,0.88,Classified as 'Internet'. Severity 'Medium' based on keywords. [⚠ AI BURST: 8 reports in Agartala] [⚠ AI BURST: 8 reports in Agartala],True
J7K8L9Z0,2026-01-10 05:25:45,Uttar Pradesh,Varanasi,Godowlia,Electricity,Low,Frequent power cuts,None,Rejected,,Electricity,Low,2,0.85,Classified as 'Electricity'. Severity 'Low' based on keywords.,False
X1C2V3B4,2025-11-27 16:50:10,Uttarakhand,Dehradun,Paltan Bazar,Road,Medium,Manhole cover missing,None,Resolved,,Road,Medium,5,0.86,Classified as 'Road'. Severity 'Medium' based on keywords.,False
N5M6Q7W8,2026-01-21 07:15:35,West Bengal,Kolkata,New Market,Sanitation,Critical,Dead animal on road,None,Open,,Sanitation,Critical,10,0.98,Classified as 'Sanitation'. Severity 'Critical' based on keywords. [⚠ AI BURST: 3 reports in Kolkata] [⚠ AI BURST: 3 reports in Kolkata],True
E9R0T1Y2,2025-12-12 18:40:00,Delhi,South Delhi,Saket,Water,Low,Leakage in main pipe,None,In Progress,,Water,Critical,10,0.82,Classified as 'Water'. Severity 'Low' based on keywords. [⚠ AI BURST: 5 reports in South Delhi] [⚠ AI BURST: 5 reports in South Delhi],True
U3I4O5P6,2026-02-02 09:05:25,Puducherry,Puducherry,Romain Rolland St,Other,Medium,Noise pollution,None,Rejected,,Other,Medium,5,0.8,Classified as 'Other'. Severity 'Medium' based on keywords.,False
A7S8D9F0,2025-11-25 22:30:50,Ladakh,Leh,Fort Road,Traffic,High,Wrong side driving,None,Resolved,,Traffic,High,8,0.89,Classified as 'Traffic'. Severity 'High' based on keywords.,False
